epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,233.334,1.39184,2.49042,1.6151,0.56821,0.49404,0.50832,0.31584,1.34916,1.65633,1.60882,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543
2,379.357,1.34391,1.86859,1.56657,0.41551,0.31061,0.28116,0.14785,1.90769,2.62248,2.2181,0.0197785,0.00659285,0.0197785,0.00659285,0.0197785,0.00659285,0.0197785,0.00659285
3,524.85,1.509,2.13711,1.70925,0.39332,0.27611,0.26463,0.13709,1.8885,2.61774,2.16776,0.0293828,0.00979426,0.0293828,0.00979426,0.0293828,0.00979426,0.0293828,0.00979426
4,680.362,1.60958,2.36274,1.81903,0.42588,0.30071,0.29928,0.15791,1.86273,2.46079,2.16014,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,846.597,1.56919,2.29621,1.78608,0.44088,0.32871,0.34063,0.20101,1.67695,2.25378,1.99234,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1010.64,1.50117,2.16503,1.74017,0.4646,0.40399,0.4095,0.24718,1.58515,1.93991,1.88002,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1183.58,1.46258,2.08228,1.70635,0.5135,0.42063,0.43904,0.26358,1.53584,1.85173,1.83623,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1337.64,1.41391,1.97243,1.67003,0.576,0.47106,0.50464,0.30285,1.48596,1.72731,1.77453,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1550.06,1.37197,1.89509,1.63763,0.5915,0.47409,0.50943,0.31265,1.48967,1.66227,1.78477,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1769.98,1.36324,1.85032,1.63169,0.53571,0.44777,0.46589,0.28792,1.50154,1.78199,1.8033,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1940.13,1.35336,1.79612,1.61348,0.60469,0.5298,0.54774,0.33933,1.39895,1.5491,1.71019,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2106.56,1.32238,1.73532,1.58738,0.60635,0.56348,0.59636,0.37405,1.3655,1.44905,1.65365,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2325.39,1.29949,1.69232,1.56999,0.63899,0.55872,0.60704,0.3765,1.35588,1.45138,1.65253,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2481.63,1.27453,1.6344,1.54758,0.61081,0.53387,0.56822,0.3573,1.38987,1.53618,1.69798,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2631.31,1.27352,1.61205,1.5481,0.65273,0.58404,0.62568,0.38531,1.3673,1.36839,1.6552,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
